title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,passed
Respect,2021,2452150,10106,3,6.6,17912,145.0,Biography,Drama,Music,1
"Retreat, The",2021,11392272,10149,3,4.9,1823,82.0,Horror,Thriller,,1
Ride or Die,2021,14164234,10653,1,5.6,2558,142.0,Crime,Drama,Romance,0
Ron&#39;s Gone Wrong,2021,7504818,10256,3,7.1,40567,107.0,Adventure,Animation,Comedy,1
Seal Team,2021,8456190,10319,3,5.6,1827,101.0,Action,Animation,Comedy,1
Secret Agent Dingledorf and His Trusty Dog Splat,2021,10355058,9999,1,5.5,98,89.0,Comedy,Family,,0
Sentinelle,2021,11734264,9574,3,4.8,8708,80.0,Action,Crime,Drama,1
Shang-Chi and the legend of the ten rings,2021,9376612,10037,3,7.4,437544,132.0,Action,Adventure,Fantasy,1
Sing 2,2021,6467266,10230,3,7.3,87803,110.0,Adventure,Animation,Comedy,1
Single All The Way,2021,14315756,10161,3,6.2,19624,99.0,Comedy,Drama,Romance,1
"Souvenir: Part II, The",2021,6992978,10509,3,7.1,4328,107.0,Drama,Romance,,1
Space Jam: A New Legacy,2021,3554046,9973,3,4.5,80623,115.0,Adventure,Animation,Comedy,1
Spencer,2021,12536294,10271,3,6.6,76801,117.0,Biography,Drama,,1
Spider-Man: No Way Home,2021,10872600,10166,3,8.2,883966,148.0,Action,Adventure,Fantasy,1
Spiral: From the Book of Saw,2021,10342730,9882,3,5.2,68639,93.0,Horror,Mystery,Thriller,1
"Starling, The",2021,5164438,10850,3,6.4,15331,102.0,Comedy,Drama,,1
Stowaway,2021,9203694,9670,3,5.7,52662,116.0,Adventure,Sci-Fi,Thriller,1
"Suicide Squad, The",2021,6334354,10004,3,7.2,411474,132.0,Action,Adventure,Comedy,1
Supernova,2021,11169050,11267,2,6.9,14510,95.0,Drama,Romance,,0
Sweet Girl,2021,10731768,10033,3,5.5,35440,110.0,Action,Drama,Thriller,1
Sweetheart,2021,10919362,9505,3,6.4,950,103.0,Comedy,Drama,Romance,1
